trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20241216-33-33741,20:14:00,20:14:00,02712,Bovaird Dr. W. @ McLaughlin Rd. N.,43.6957585266119,-79.7981796900374,12240125-33,33,Guelph / North York,20241216
20241222-21-21755,22:39:00,22:39:00,02508,Derry Rd. W. @ Ninth Line,43.574543,-79.78685,12240125-21,21,Milton,20241222
20241221-88-88800,21:10:00,21:10:00,02501,Trent University,44.3569412,-78.2870331,12240125-88,88,Peterborough / Oshawa,20241221
20241222-21-21860,23:32:00,23:32:00,00811,Derry Rd. @ Thompson Rd. S.,43.5183742974875,-79.8485449007419,12240125-21,21,Milton,20241222
20241211-33-33490,13:52:00,13:52:00,00853,Main St. N. @ Moore Park Cres.,43.6549454,-79.9335709,12240125-33,33,Guelph / North York,20241211
20241224-54-54600,17:11:00,17:11:00,02113,Hwy. 48 @ 16th Ave.,43.8920631,-79.2641983,12240125-54,54,Markham / Hwy 407 Terminal,20241224
20241128-47-47910,23:00:00,23:00:00,00141,Hamilton GO Centre Bus,43.252945,-79.869586,08241224-47,47,Hamilton / Hwy 407 Terminal,20241128
20241129-19-19631,17:28:00,17:28:00,01647,Yonge St. @ Florence Ave.,43.7582703,-79.4102325,08241224-19,19,Mississauga / North York,20241129
20241127-40-40560,17:11:00,17:11:00,02208,Renforth Dr. @ Convair Dr.,43.6720657,-79.5930939,08241224-40,40,Hamilton / Richmond Hill,20241127
20241130-ST-7426,17:38:00,17:38:00,AG,Agincourt GO,43.78611,-79.284385,08241224-ST,ST,Stouffville,20241130
20241208-40-40371,12:47:00,12:47:00,02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,12240125-40,40,Hamilton / Richmond Hill,20241208
20241218-92-92890,25:00:00,25:00:00,00344,Kingston Rd. @ Church St.,43.8546715,-79.0551224,12240125-92,92,Oshawa / Yorkdale,20241218
20250101-LW-1710,09:14:00,09:14:00,PO,Port Credit GO,43.555999,-79.586881,12240125-LW,LW,Lakeshore West,20250101
20250101-21-21164,07:32:00,07:32:00,01017,Derry Rd. @ Thompson Rd. S.,43.5167885,-79.8501892,12240125-21,21,Milton,20250101
20241223-33-33541,15:55:00,15:55:00,00222,Shopper's World,43.6678429,-79.7354813,12240125-33,33,Guelph / North York,20241223
20241126-37-37031,05:52:00,05:52:00,01258,Hurontario St. @ Bovaird Dr. W.,43.70655,-79.78753,08241224-37,37,Orangeville / Brampton,20241126
20241203-56-56010,05:18:00,05:18:00,02539,Brock Rd. @ Hwy. 407 Park & Ride,43.912596,-79.097042,08241224-56,56,Oshawa / Oakville,20241203
